"Molecular Type","X-ray","NMR","EM","Multiple methods","Neutron","Other","Total"
"Protein (only)","142303","11804","5999","177","70","32","160385"
"Protein/Oligosaccharide","8414","31","979","5","0","0","9429"
"Protein/NA","7491","274","1986","3","0","0","9754"
"Nucleic acid (only)","2368","1372","60","8","2","1","3811"
"Other","149","31","3","0","0","0","183"
"Oligosaccharide (only)","11","6","0","1","0","4","22"
